Produto/Unidade,Nível de Comercialização,U.F.,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,"1,76","1,58","1,46","1,48","1,75","1,71","1,87","2,58","1,94","2,12","29,00","24,90"
ABACAXI PÉROLA (kg),PRODUTOR,AM,"1,76","1,58","1,46","1,48","1,75","1,71","1,87","2,58","1,94","2,12","2,55","1,69"
ABACAXI PÉROLA (kg),PRODUTOR,AP,"3,00","3,75","2,50","2,50","2,50","2,50","2,50","2,38","2,40","2,40","2,40","2,40"
ABACAXI PÉROLA (kg),PRODUTOR,ES,"1,23","1,74","1,89","1,78","1,76","1,87","1,65","1,64","1,43","1,21","1,35","1,38"
ABACAXI PÉROLA (kg),PRODUTOR,PR,"1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50"
ABACAXI PÉROLA (kg),PRODUTOR,RR,"1,20","1,20","1,20","1,24","1,25","1,25","1,26","1,28","1,31","1,33","1,42","1,52"
ABACAXI PÉROLA (kg),PRODUTOR,TO,"1,46","1,46","2,09","2,04","1,67","1,55","1,63","1,66","1,55","1,55","1,58","1,71"
ABACAXI PÉROLA (t),PRODUTOR,AC,"2.500,00","2.500,00","2.500,00","2.650,00","3.110,40","3.000,00","2.955,00","2.822,50","2.729,63","2.098,50","1.592,50","1.179,88"
ABACAXI PÉROLA (t),PRODUTOR,BA,"2.500,00","2.500,00","2.500,00","2.650,00","3.110,40","1.500,00","1.430,00","1.225,00","1.775,00","1.460,00","1.475,00","1.225,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,"1.920,00","2.000,00","2.000,00","1.950,00","1.950,00","1.950,00","1.940,00","1.900,00","1.875,00","1.860,00","1.742,50","1.800,00"
ABACAXI PÉROLA (t),PRODUTOR,GO,"1.133,87","2.000,00","1.674,58","1.679,17","1.788,00","1.801,67","1.904,00","1.690,83","1.635,00","1.707,87","1.672,56","1.780,00"
ABACAXI PÉROLA (t),PRODUTOR,MG,"813,33","533,33","533,33","533,33","1.788,00","1.801,67","1.244,45","1.008,33","816,67","880,00","1.133,33","933,33"
ABACAXI PÉROLA (t),PRODUTOR,PB,"740,00","910,25","1.278,00","1.251,25","1.198,00","1.307,25","1.332,00","1.221,88","1.193,50","1.140,70","1.131,25","1.308,33"
ABACAXI PÉROLA (t),PRODUTOR,RJ,"772,07","1.087,08","1.206,92","987,92","1.021,76","1.123,50","1.102,79","939,92","801,42","853,91","1.028,15","1.053,27"
ABACAXI PÉROLA (t),PRODUTOR,RS,"772,07","1.500,00","1.650,00","2.257,70","2.769,23","2.769,23","2.769,23","939,92","801,42","853,91","1.028,15","1.053,27"
ABACAXI PÉROLA (t),PRODUTOR,SE,"800,00","800,00","800,00","800,00","884,00","987,50","933,40","936,25","985,00","942,00","1.055,00","1.210,00"
ABACAXI PÉROLA (t),PRODUTOR,SP,"2.290,00","2.530,00","2.620,00","2.418,50","1.996,00","1.935,00","1.938,00","1.907,50","1.983,75","2.072,00","2.222,50","2.348,75"
ABACAXI PÉROLA (un),PRODUTOR,RN,"1,47","1,50","1,50","1,55","1,60","1,60","1,66","1,70","1,73","1,75","1,75","1,75"
ABACAXI PÉROLA (un),PRODUTOR,RO,"1,47","1,50","1,50","1,55","1,60","1,60","1,66","1,70","1,73","1,75","1,65","1,25"
ABACAXI PÉROLA (un),PRODUTOR,TO,"1,48","1,48","2,04","2,04","1,67","1,55","1,63","1,66","1,55","1,55","1,58","1,71"
ABACAXI (un),ATACADO,AL,"1,48","1,48","2,04","2,04","1,67","1,55","1,63","3,00","1,55","2,50","2,63","2,50"
ABACAXI (un),ATACADO,BA,"1,55","1,76","1,75","1,85","1,87","1,92","1,73","1,85","2,01","2,04","1,93","2,00"
ABACAXI (un),ATACADO,CE,"3,00","2,80","2,85","2,81","2,92","2,95","2,83","2,76","2,72","2,73","2,70","2,90"
ABACAXI (un),ATACADO,DF,"4,65","4,46","4,13","4,07","4,21","4,82","5,04","5,20","4,90","5,10","5,50","5,58"
ABACAXI (un),ATACADO,ES,"2,70","3,04","2,96","2,84","2,89","2,95","3,00","2,84","2,69","2,50","2,50","2,64"
ABACAXI (un),ATACADO,GO,"3,81","3,75","2,50","3,83","3,39","3,50","3,60","3,35","3,41","3,59","3,56","3,25"
ABACAXI (un),ATACADO,MG,"2,13","2,08","2,18","2,13","2,14","2,06","2,07","2,14","1,94","1,94","2,23","3,25"
ABACAXI (un),ATACADO,MS,"4,02","5,00","4,22","4,17","4,13","3,60","3,65","3,75","3,75","3,75","3,75","3,75"
ABACAXI (un),ATACADO,PA,"2,89","2,65","2,38","2,40","2,48","2,46","2,50","2,31","2,35","2,45","2,88","3,56"
ABACAXI (un),ATACADO,PB,"1,46","1,77","1,77","1,62","1,58","1,55","1,54","1,55","1,66","1,45","1,53","1,57"
ABACAXI (un),ATACADO,PE,"1,80","2,48","2,63","2,00","2,31","2,58","2,10","1,68","2,07","1,71","2,00","1,89"
ABACAXI (un),ATACADO,PI,"1,80","2,48","2,63","2,00","2,70","2,30","2,50","2,50","2,30","2,80","2,50","2,60"
ABACAXI (un),ATACADO,PR,"1,88","2,10","2,03","1,63","1,63","1,56","1,56","1,56","1,56","1,56","2,50","1,56"
ABACAXI (un),ATACADO,RJ,"3,71","4,01","3,71","3,24","3,40","3,03","3,23","3,76","3,54","3,20","3,01","3,18"
ABACAXI (un),ATACADO,RN,"1,50","1,63","1,79","1,70","1,67","1,64","1,50","1,50","1,50","1,70","1,70","1,70"
ABACAXI (un),ATACADO,RS,"3,00","3,05","3,13","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,84"
ABACAXI (un),ATACADO,SC,"3,20","3,40","3,40","3,40","3,25","3,20","3,20","3,20","3,20","3,08","3,00","3,15"
ABACAXI (un),ATACADO,SP,"4,69","4,80","4,63","4,61","4,64","4,72","4,59","4,09","4,28","4,16","4,29","4,68"
ABACAXI (un),ATACADO,TO,"2,20","4,80","2,50","2,50","2,46","2,50","2,45","3,00","2,93","2,46","3,34","3,63"
AÇAÍ FRUTO (kg),PRODUTOR,AC,"1,30","1,30","1,30","1,35","1,49","1,50","1,49","1,66","1,88","1,91","2,12","1,93"
AÇAÍ FRUTO (kg),PRODUTOR,AM,"1,55","1,43","1,20","1,23","1,07","1,22","1,15","0,90","0,93","1,75","2,22","2,73"
AÇAÍ FRUTO (kg),PRODUTOR,AP,"2,72","2,72","2,72","2,72","2,72","2,72","2,72","1,83","1,39","1,74","1,95","2,13"
AÇAÍ FRUTO (kg),PRODUTOR,MA,"2,07","2,08","2,08","2,09","2,25","2,54","2,57","2,57","2,57","2,51","2,43","2,48"
AÇAÍ FRUTO (kg),PRODUTOR,PA,"1,38","2,08","2,08","1,89","1,81","1,78","2,02","2,02","1,70","1,66","1,79","1,84"
AÇAÍ FRUTO (kg),PRODUTOR,RO,"1,00","2,08","1,00","1,50","2,40","1,78","2,02","2,50","2,50","2,50","2,50","1,84"
AÇÚCAR CRISTAL (10 kg),ATACADO,CE,"14,30","14,00","14,13","14,75","15,00","15,00","15,00","15,00","15,75","19,20","21,50","21,50"
AÇÚCAR CRISTAL (2 kg),ATACADO,PR,"14,30","14,00","14,13","14,75","15,00","15,00","15,00","15,00","15,75","3,31","3,58","4,26"
AÇÚCAR CRISTAL (2 kg),VAREJO,GO,"3,25","3,28","3,26","3,45","3,34","3,29","3,31","3,24","3,37","3,53","4,58","4,95"
AÇÚCAR CRISTAL (2 kg),VAREJO,SP,"4,29","4,50","4,50","4,73","4,46","4,40","4,45","3,97","3,94","3,90","4,10","4,12"
AÇÚCAR CRISTAL (2 kg),VAREJO,TO,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","5,26","5,92"
AÇÚCAR CRISTAL (30 kg),ATACADO,AL,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","5,26","64,80"
AÇÚCAR CRISTAL (30 kg),ATACADO,AM,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","60,00","65,50"
AÇÚCAR CRISTAL (30 kg),ATACADO,BA,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","60,00","63,99"
AÇÚCAR CRISTAL (30 kg),ATACADO,DF,"3,67","3,66","8,74","8,90","8,22","7,99","8,24","8,14","8,79","4,71","60,00","66,72"
